副本名,1,2,3,4,5,6
天然要害沙斯塔夏溶洞,"地图上会有一个标明为“死路”的分叉,可以看到一个小纸片""沾有血污的笔记"",
笔记文字提示了老一需要打开的机关的颜色：
晴天下的蔚蓝大海——蓝色
高级的红酒——红色
新鲜的绿色蔬菜——绿色
贝壳闭合时是无敌的,打开后会吐出一些鬼火.","打开隐藏装置后出现老一
没什么特别的,出啥躲啥.","途中会遇到两次老二，需要T标号，优先击杀小怪，最后打麦迪逊船长
第一次打跑麦迪逊船长后，打小怪获得“船长室”的钥匙，击败蛇尾海盗后获得“海人门”的钥匙。","第二次遇到麦迪逊船长时，同样优先击杀其他小怪。在击杀中途船长会召唤野狗，需要T注意拉住野狗，DPS处理完船长之后，再慢慢击杀野狗即可。
走出洞窟之后需要靠左侧前进，右侧小怪不用击杀。",,"T把老三海虎牙 邓恩放在场地中央，场地四周的木栈板会喷出水泡，一般由奶妈和远程DPS关闭。如果没有及时关闭水泡，就会从木栈中蹦出小怪。
如果队伍成员均为等级同步状态，T可以选择不理会小怪"
地下灵殿塔姆·塔拉墓园,"在前进的路上会看到小怪守护的祭坛，击杀所有小怪之后，就会出现虚无魂魔，击杀虚无魂魔之后，取下祭坛上的宝珠，就可以继续前进了。
遇到盲头蟹切换成走路(秘术、召唤、学者需要遣散自己召唤的宝宝)可以避免战斗",,,,,最终BOSS 主宰者 加尔梵斯 当它与其他小怪连线时，BOSS会变为无敌，需要击杀被连线的小怪。
封锁坑道铜铃铜山,进门之后打倒小怪之后会掉落钥匙 一个人捡就可以了 剩下的人可以在门口准备开门 ,老一愤怒的科托斯房间会不断刷新魔石精 击杀后BOSS登场 没有任何难度,"坐电梯下行之后 抵达一个房间 左右各有一个耳室 耳室里有“爆破爆弹怪” 击杀后会掉落火药 
击杀爆弹怪并捡起火药之后 前往另一个耳室 ",老二怒水腐液 需要T拉住粘液胶 奶或DPS启动机关 T同时拉住出现的爆弹怪和粘液胶 让爆弹怪把粘液胶炸碎 被炸碎的粘液胶需要T重新上仇恨 另外炸弹怪出现时 会刷新魔石精 需要DPS尽快击杀 粘液胶被炸碎3次之后 就可以正常击杀,老三强腕的居格斯 直接打Boss即可,
魔兽领域日影地修炼,,"老一炽热火丛 每过一段时间会从周围的壁炉中召唤小怪 小怪跑到中央就会引发全屏AOE 一般来说无需理会 
击杀老一之后点击火堆中的“魔力的奔流”传送",需要沿途打开“绞车锁链” ,"老二霹雳雷蛟脚下是一个雷池 T使用远程仇恨把BOSS拉到场边的斜坡上 每过一段时间 BOSS就会返回雷池中央无敌 并召唤小怪 
此时雷池带电 请不要踩雷池…清理小怪后继续攻击BOSS 重复几次后击杀","老三兽斗士 坦伽塔 会召唤小怪 T把BOSS放在中场 T拉住小怪 只击杀最后一只毒火即可 
当BOSS脚下出现火圈时 会无敌 需要转火门口出现的火元精 ",
监狱废墟托托·拉克千狱,一路上需要捡拾“魔导感光器” 捡够4个就可以打开魔导终端(个数在右侧副本信息有提示) ,,"打倒第一只豹尾花前进 接下来感光器是从沿途的“守卫鞭”身上掉落 
抵达第二个房间时身上应该有3个感光器 此时左转 在愚者大厅下方会有第4个感光器 ",,,"老三霸星蛛蝎 BOSS血量下降到一定程度之后 会出现尾刺并在场地上扎毒 
需要DPS立刻集中攻击尾刺 场中刷新的小怪需要由T拉住 奶妈如果是小怪第一仇恨 请把小怪带到T身边 "
名门府邸静语庄园,进门之后沿左侧前进 在第一间屋子里能捡到小钥匙 沿途遇到的随从女仆碰到第一个玩家就会读条AOE 使用眩晕技能将其打断 击杀即可 ,"老一随从女工没有特别需要注意的 同样读条暗影雾的时候可以打断 但是打断次数过多会产生抗性
打完老一捡了钥匙要原地向后,转开门后不走楼梯 直接跳下去",下楼之后最后一间房子(地图左下角)里有BOSS房间的钥匙 ,老二庄园的小丑和庄园的总管 先击杀小丑,点击“返回” 回到副本门口 然后前行上楼梯 ,老三阿芒迪娜女士 BOSS血量下降到一定程度后 会在场地四个角召唤四盏灯 需要DPS去关闭灯一共会刷新两次 然后BOSS召唤小怪 
休养胜地布雷福洛克斯野营地,进门之后在地图上标为布雷福洛克斯监视小屋的地方 跟哥布林说话拿到钥匙 穿过树林抵达避难地前庭 ,老一大黄鹈鹕 T拉住小怪和BOSS H注意驱散debuff,穿过一小段隧道之后 来到一片开放的营地 不用上台阶 直接去boss房,"老二狱炎火蛟每隔一段时间会被哥布林嘲讽 然后哥布林会随机靠近一名玩家 等boss喷完即可
刷新小怪T拉好小怪DPS转火打掉","老三水栖蝾螈出啥躲啥 BOSS会随机点名玩家甩他一身泥 H注意驱散 BOSS会随机点玩家被水泡封锁 需要DPS尽快转火打掉水泡
在BOSS血量降到一定程度后 最终BOSS落下 打掉一小部分血量后离开 ",最终BOSS阿杰特 出啥躲啥 BOSS会随机点名一名玩家吐一摊毒 BOSS站在毒里会回血 需要T将其带离毒潭
古代遗迹喀恩埋没圣堂,DPS第一时间集火圣堂峰,"老一巨齿牛头魔会读条技能“致命射线” 同时屏幕提示“巨齿牛头魔发出了诡异的咆哮！”
此时需要所有人找到发光的石板踩上去解除buff",路上遇到的“常衡石面”需要把它放在石板上击杀 石板不发光说明位置正确,老二圣堂守卫 DPS要先集火巨像兵的魂石 把魂石打掉之后 才能攻击本体 ,,"老三审判化身 石面同样要在石板上击杀 BOSS会召唤权杖
一种会在自身周围放出矩形的黑色区域 DPS需要站在黑色区域里才能对这个权杖造成伤害"
流沙迷宫樵鸣洞,打掉蚂蚁跳进流沙 ,老一灵蚁禁军公主 BOSS打掉一定血量后 会召唤一堆蚂蚁 T拉住 DPS输出boss即可,一路狂奔 不要回头 不要摸怪 跑到流沙之后迅速下潜即可 ,"老二巨型地道蠕虫 BOSS会随机点名一名玩家上流血debuff 需要奶妈驱散 
boss下潜后 所有人靠边躲开伤害范围即可",,"老三奇美拉 读条雷电咆哮时 所有人靠近BOSS 读条寒冰咆哮时 所有人远离BOSS 
点名需要将电球带出人群"
对龙城塞石卫塔,小怪AA巨疼!,老一丘都尤都 当BOSS突然离开走向场边或角落时 请立刻跟过去 躲到他身侧或身后,,"老二柯西切 T把BOSS拉到门口 面冲外 奶妈站到场地内侧 
当屏幕提示“足枷冰龙从天而降”时 需要奶妈回头找到冰龙 并开对应位置的炮 ",,"老三足枷冰龙 BOSS血量降低到一定程度之后会上天 对场地进行俯冲 被俯冲的地面会变白 所有人注意躲避 
第二次俯冲后注意躲开冰圈
俯冲结束之后 所有人远离T BOSS降落时会对周围造成一定的伤害 "
山中战线泽梅尔要塞,老一前所有小怪拉到水晶纱帐里面打,"老一全视之眼平时是无敌的 需要拉进水晶纱帐 
当屏幕提示“水晶的光芒逐渐黯淡”的时候 需要T更换位置 小怪T拉住即可",,老二 躲好AOE,,老三巴特拉尔 BOSS血量下降到一定程度时 会和场边的水晶连线并变为无敌 需要转火水晶
毒雾洞窟黄金谷,贴着左边走!,老一锁匠花 会每隔一段时间全屏上buff buff会让玩家持续掉血 2层吃果子解buff ,,老二数币巨人 十吨横扫” 需要T穿过BOSS躲避；“百吨回转” 吃到即死 所有人远离,,老三守财夫人 2层buff就要吃果子 注意转火花苞
神灵圣域放浪神古神殿,,老一圣地守护者 出啥躲啥 ,打倒冬贝利之后 拾取灯油 开机关用 第四个机关一般由T开疾跑冲过去引怪/冬贝利 奶妈开疾跑跟着过去开,老二巨大奶冻怪 小怪及时转火清理即可 ,,老三冬贝利王 无视小怪直接打BOSS即可 
