副本名,1,2,3,4,5,6
天然要害沙斯塔夏溶洞,"地图上会有一个标明为“死路”的分叉,可以看到一个小纸片""沾有血污的笔记"",
笔记文字提示了老一需要打开的机关的颜色：
晴天下的蔚蓝大海——蓝色
高级的红酒——红色
新鲜的绿色蔬菜——绿色
贝壳闭合时是无敌的,打开后会吐出一些鬼火.","打开隐藏装置后出现老一
没什么特别的,出啥躲啥.","途中会遇到两次老二，需要T标号，优先击杀小怪，最后打麦迪逊船长
第一次打跑麦迪逊船长后，打小怪获得“船长室”的钥匙，击败蛇尾海盗后获得“海人门”的钥匙。","第二次遇到麦迪逊船长时，同样优先击杀其他小怪。在击杀中途船长会召唤野狗，需要T注意拉住野狗，DPS处理完船长之后，再慢慢击杀野狗即可。
走出洞窟之后需要靠左侧前进，右侧小怪不用击杀。",,"T把老三海虎牙 邓恩放在场地中央，场地四周的木栈板会喷出水泡，一般由奶妈和远程DPS关闭。如果没有及时关闭水泡，就会从木栈中蹦出小怪。
如果队伍成员均为等级同步状态，T可以选择不理会小怪"
地下灵殿塔姆·塔拉墓园,"在前进的路上会看到小怪守护的祭坛，击杀所有小怪之后，就会出现虚无魂魔，击杀虚无魂魔之后，取下祭坛上的宝珠，就可以继续前进了。
遇到盲头蟹切换成走路(秘术、召唤、学者需要遣散自己召唤的宝宝)可以避免战斗",,,,,最终BOSS 主宰者 加尔梵斯没有特别需要注意的技能，当它与其他小怪连线时，BOSS会变为无敌，需要DPS优先击杀被连线的小怪。
封锁坑道铜铃铜山,,,,,,
魔兽领域日影地修炼,,,,,,
监狱废墟托托·拉克千狱,,,,,,
名门府邸静语庄园,,,,,,
休养胜地布雷福洛克斯野营地,,,,,,
古代遗迹喀恩埋没圣堂,,,,,,
流沙迷宫樵鸣洞,,,,,,
对龙城塞石卫塔,,,,,,
山中战线泽梅尔要塞,,,,,,
毒雾洞窟黄金谷,,,,,,
